notebooklm_query|notebooklm_answer|qwen3-8b_answer|first_token_use_time
年卡用户有哪些专属福利？如何领取和使用？|年卡用户可以享受多项专属福利，但需满足年卡已变为不可退的状态（例如过渡期8天已过，或在过渡期内入园后）。 酷爽夏日主题实体徽章兑换券（变形金刚主题角色款）： 年卡用户可在2025年6月13日至6月29日期间领取至多一张兑换券，兑换一枚实体徽章。兑换券有效期至2025年6月29日，库存有限（共20,000个），先到先得。领取方式是在入园当天通过北京环球度假区官方移动应用（App、微信小程序或支付宝小程序）的“会员俱乐部”绑定年卡订单后领取。兑换地点为探长零件集市，时间为每日10:00-16:00。如果活动结束后仍有余量，年卡用户有机会在2025年7月1日至7月6日期间再次领取和兑换。 熙悦餐厅半自助晚餐券： 年卡用户可购买和使用此券，兑换诺金度假酒店熙悦餐厅的半自助晚餐（含一份主菜和自助餐台）。券有效期从购买之日起至2025年6月12日。建议提前24小时预约（电话：010-57326330），餐厅开放时间为17:30-21:30。 环球影城莲花园自助晚餐券： 年卡用户可购买和使用此券，兑换环球影城大酒店环球影城莲花园的自助晚餐。券有效期为购买之日起60个自然日内。建议提前24小时预约（电话：010-57311573），餐厅开放时间为17:30-21:30。需注意2025年6月1日、7月19日和8月29日为特殊节日主题活动日，使用餐券需提前与餐厅确认预约。 上述餐券和徽章兑换券都不能与其他优惠叠加使用，且不可篡改、复制、转让、转售或用于商业用途。|"年卡用户专属福利及领取使用方式如下：

### 一、专属福利
1. **酷爽夏日实体徽章兑换券**  
   年卡用户可领取变形金刚主题角色款实体徽章兑换券，兑换后可在主题公园内使用[1]。

2. **自助晚餐券**  
   - **熙悦餐厅半自助晚餐券**：年卡用户可兑换一次半自助晚餐，主菜从四款中任选，有效期至2025年6月12日[4]。  
   - **环球影城莲花园自助晚餐券**：年卡用户可兑换一次自助晚餐，有效期为自购买日起60天内[5]。

3. **探索护照盖章权益**  
   年卡用户可购买探索护照，集齐10枚印章后可兑换奖品（具体以现场实际为准）[2]。

---

### 二、领取与使用方式
1. **实体徽章兑换券**  
   - **领取**：登录北京环球度假区官方App、微信小程序或支付宝小程序，绑定年卡订单后在“会员俱乐部”领取[1]。  
   - **使用**：2025年6月13日-29日每日10:00-16:00，在探长零件集市兑换；若库存未罄，7月1日-6日可额外领取一次[1]。

2. **自助晚餐券**  
   - **领取**：通过官方App或微信小程序的“会员俱乐部”兑换[4][5]。  
   - **使用**：  
     - 熙悦餐厅：需提前24小时预约（电话010-57326330），于17:30-21:30时段使用，有效期至2025年6月12日[4]。  
     - 莲花园餐厅：需提前24小时预约（电话010-57311573），于17:30-21:30时段使用，有效期为自购买日起60天内[5]。

3. **探索护照**  
   - **购买**：在园区各零售商店购买（霍格莫德车站除外），盖章地点包括侏罗纪集市、探长零件集市等[2]。  
   - **使用**：集满10枚印章后，前往好莱坞热映影片周边商店兑换奖品[2]。

---

### 三、注意事项
- 所有权益仅限年卡用户本人使用，不可转让或与其他优惠叠加[1][4][5]。  
- 实体徽章及晚餐券库存有限，需及时预约并按规则使用[1][4][5]。

#### 参考文献：
[1] 来自文件《6.13-6.29 年卡专属：酷爽夏日主题实体徽章兑换券（变形金刚主题角色款）.docx》。  
[2] 来自文件《探索护照介绍.docx》。  
[4] 来自文件《[clean] 熙悦餐厅自助晚餐券.docx》。  
[5] 来自文件《[clean] 环球影城大酒店环球影城莲花园自助晚餐券.docx》。"|12737
进入北京环球度假区有哪些安全检查和物品携带规定？|所有游客及其携带物品在进入北京环球度假区前必须进行安全检查，包括使用安检门、X光机和手持金属探测仪。 禁止携带的物品包括： 玻璃制品（医疗、婴幼儿或特殊饮食需求除外）。 露营车、手推车、带轮子的运送工具和电动代步车（手推轮椅、残疾人电动辅助行动设备，7岁及以下儿童使用的童车除外）。 自行车或带滑轮的玩乐装备（如旱冰鞋、滑板等）。 凳子、折叠椅。 武器、刀剪、易爆品、危险化学品、易燃品和气球。 宠物和动物（经过培训的导盲犬除外，但部分景点可能不允许导盲犬乘坐）。 尺寸超过长56厘米 x 宽36厘米 x 高23厘米的包或容器。 玩具枪、爆破器、弹弓、弓或弩等。 渔具、风筝、遥控设备或其他遥控类玩乐装备（如无人机）。 可能妨碍度假区安全及日常运营的摄影器材、摄影灯光设备、摄像器材、三脚架和相关工具。 相机/手机/手提摄影机之伸缩杆（例如自拍杆）。 大量北京环球度假区官方商品或可能被他人误认为是北京环球度假区相关的周边商品，或其他可进行售卖的商品（大量指超过个人使用数量）。 其他任何可能造成伤害或混乱的物品。|"进入北京环球度假区需遵守以下安全检查及物品携带规定：  

1. **安全检查流程**：所有游客及其携带物品需通过安检门、X光机和手持金属探测仪进行安全检查。基于安全原因，部分包袋或物品可能被拒绝带入[1]。  

2. **禁止携带物品**：  
   - **玻璃制品**（如水杯、饭盒等），医疗、婴幼儿或特殊饮食需求除外；  
   - **露营车、手推车、带轮子的运送工具**（婴儿车除外，需儿童同行）；  
   - **自行车、滑板、旱冰鞋等**；  
   - **武器、易燃易爆品、危险化学品**；  
   - **宠物**（导盲犬除外，需系牵引绳）；  
   - **尺寸超限的包袋**（长56cm x 宽36cm x 高23cm以上）；  
   - **玩具枪、无人机、摄影器材三脚架**等可能影响安全的物品；  
   - **大量官方商品或周边商品**（如魔法袍、雨衣等），除非经书面允许[1]。  

3. **食品与饮料限制**：  
   - 禁止携带酒精饮料、需加热加工的食品、带有刺激性气味的食品（如榴莲）；  
   - 超出个人食用量的食品饮料不得带入，医疗或特殊饮食需求除外[1]。  

4. **其他规定**：  
   - 需全程看管私人财物，16岁以下游客须由成人陪同；  
   - 禁止在园区内吸烟（指定区域除外）、随地丢弃垃圾、进行非法集会或扰乱秩序的行为[1]。  

#### 参考：  
[1]来自文件《入园须知.docx》。"|8258
北京环球度假区对园内餐饮和行为举止有何规定？|餐饮政策： 游客可以携带仅供个人食用的食品和饮料入园。出于安全和对他人体验的影响考虑，禁止携带： 超出个人食用的食品和饮料。 含有酒精的饮料。 需要加热或加工的食品（如方便面、冷食、自热火锅等）。 带有刺激性气味的食品及饮料（如榴莲）。 医疗、婴幼儿或特殊饮食需求除外。 行为举止： 请随时看管好您的私人财物和同行的儿童（不满16周岁的游客须由16周岁以上游客陪同）。 禁止倒票、示威、请愿、拉客、未经书面允许的商品或服务销售/分发、未经书面允许的集会/活动/演出/演讲/行为艺术。 禁止任何违法、危险、扰乱秩序、具有破坏性或攻击性的行为，包括打架、推搡、使用侮辱性语言、妨碍他人通行、踩踏草坪、奔跑、使用噪音设备。 禁止进入度假区水系的水域、游泳、钓鱼、野餐、露营和烧烤。 衣着须适宜，禁止穿着不当、不雅、印有侮辱性语言/邪教标识/宗教冒犯性的服装，或可能影响其他游客体验的服装。 禁止进行造型装扮（除非是度假区提供的产品/服务，或医疗/健康原因的面罩，或书面允许），禁止穿着可能被误认为是团队成员的服装。 禁止在指定吸烟区以外吸烟或使用电子烟。 除私人和非商业用途外，禁止拍照、录像、录音或直播。 禁止随地乱扔垃圾。 禁止将车辆或其他运载工具拖行或仅出于携带个人物品目的使用运载工具。|"北京环球度假区对园内餐饮和行为举止有以下规定：  

### **餐饮规定**  
1. **禁止携带食品和饮料入园**  
   - 除医疗、婴幼儿或特殊饮食需求外，游客不得携带外部食品、饮料、需加热或加工的食品（如方便面、速食火锅等）、含酒精饮料及带有刺激性气味的食品（如榴莲）进入度假区[1]。  
   - 北京环球度假区内的餐厅和零售店提供各类美食，但游客需在园区内购买或食用[1]。  

2. **特定餐饮场所限制**  
   - 环球影城大酒店的莲花园自助晚餐券及熙悦餐厅半自助晚餐券仅限年卡用户使用，且需提前预约，部分菜品可能因时令或售罄原因调整[1]。  

### **行为举止规定**  
1. **禁止行为**  
   - **安全与秩序**：不得倒票、示威、拉客、分发未经允许的印刷品或进行集会、演出等活动；禁止打架、威胁他人、使用侮辱性语言或噪音设备（如收音机、喇叭等）[1]。  
   - **公共区域规范**：禁止在指定吸烟区外吸烟、随地乱扔垃圾、奔跑、攀爬、踩踏草坪或进入园林景观区域[1]。  
   - **着装要求**：禁止穿着暴露、印有侮辱性语言或宗教冒犯性标识的服装，以及可能被误认为度假区工作人员的服装[1]。  

2. **其他限制**  
   - **拍照与录像**：除私人和非商业用途外，禁止使用摄影器材、三脚架等设备进行拍摄[1]。  
   - **宠物与导盲犬**：除导盲犬（需系牵引绳）外，禁止携带宠物入园[1]。  

以上规定旨在保障游客安全及园区秩序，具体以官方最新通知为准。  
#### 参考：  
[1]来自文件《入园须知.docx》。"|10641
入园需要提供哪些证件？入园流程是怎样的？|进入北京环球影城，游客须持有有效门票，并提供政府颁发的有效身份证件原件用于年龄及身份验证： 中国大陆居民： 居民身份证。 中国香港、中国澳门居民： 港澳居民来往内地通行证或港澳居民居住证。 中国台湾居民： 台湾居民往来大陆通行证或台湾居民居住证。 外国公民： 护照或外国人永久居留身份证。 每次进入主题公园前，游客需在北京环球度假区指定的官方移动应用（如官方App、支付宝小程序和微信小程序）上预约入园时段，分时有序入园。有效的入园权益和预约记录共同构成有效的入园凭证，两者缺一不可。|"入园需提供以下证件：  
- **中国大陆居民**：居民身份证；  
- **中国香港、澳门居民**：港澳居民来往内地通行证或港澳居民居住证；  
- **中国台湾居民**：台湾居民来往大陆通行证或台湾居民居住证；  
- **外国公民**：护照或外国人永久居留身份证。[1]  

**入园流程**：  
1. **预约入园时段**：通过北京环球度假区官方App、支付宝小程序或微信小程序预约入园时间，预约记录与门票共同构成入园凭证，缺一不可。  
2. **安检流程**：所有游客及其携带物品需通过安检门、X光机和手持金属探测仪检查，禁止携带玻璃制品、武器、宠物（导盲犬除外）、超尺寸包袋等违禁物品。  
3. **核验身份及门票**：入园时需出示有效身份证件原件及门票，工作人员核验年龄及身份信息。  
4. **遵守园区规定**：需看管好个人财物，陪同16岁以下儿童，遵守排队秩序及安全规则。[1]  

以上信息来源于《入园须知》文件。  
#### 参考：  
[1]来自文件《入园须知.docx》。"|7356
极端天气或其他不可抗力情况对园区运营有何影响？|北京环球度假区可能因极端天气、恶劣天气或空气质量状况（如雨雪、冰雹、雷电、沙尘暴、空气污染等），或出于园区承载能力、健康与安全需要、特殊活动或其他必要原因的考虑，不定期变更或关闭部分或全部运营。这可能包括更改主题公园或景点开放时间、临时关闭区域、控制入园人数，或暂停/调整/取消任何游乐景点、娱乐演出、场馆或菜单。除非适用法律另有规定，北京环球度假区对此不承担责任。|"极端天气或其他不可抗力情况可能对北京环球影城的运营产生以下影响：  
1. **园区运营调整**：极端天气（如雨雪、冰雹、雷电、沙尘暴、空气污染等）或空气质量状况可能迫使园区部分或全部**不定期变更或关闭**，且**恕不另行通知**[1]。  
2. **活动调整**：可能临时调整游乐设施的开放时间、控制入园人数，或暂停、调整部分游乐景点、娱乐演出、场馆及菜单[1]。  
3. **安全与健康考量**：出于健康与安全需要，园区可能采取临时关闭措施，例如因空气质量超标或承载能力限制[1]。  

此外，根据条款，北京环球度假区**不承担因极端天气或不可抗力导致的运营变动责任**，且门票退款政策中明确指出，此类情况**不适用法律另有规定时不予退款**[1]。游客需关注园区官方公告或实时通知以获取最新动态。  

#### 参考：  
[1] 来自文件《产品Terms and Conditions.docx》。"|10877
北京环球度假区保留哪些权利？|北京环球度假区保留以下权利： 拒绝任何穿着不适宜的游客进入度假区，并要求其更换服装或离开。 在度假区内进行摄像、摄影和/或录音，游客进入即视为同意其肖像和/或声音被用于业务、行政、运营、法律、安全或保安要求，或其他合法目的。 对于任何不遵守入园须知、产品条款与条件，或相关法律法规和政策的个人，有权拒绝提供产品或服务、拒绝其入园或要求其立即离园。 因极端天气、恶劣天气、承载能力、健康与安全需要、特殊活动或其他必要原因，可更改开放时间、临时关闭区域、控制入园人数、暂停或调整游乐景点/演出/场馆/菜单等。 任何针对度假区的诉讼，均应由度假区住所地人民法院管辖，适用中国法律且排除冲突法规则。如有疑问或紧急情况，可咨询现场团队成员或拨打宾客服务热线4008-778899。入园须知可能会未经提前通知而变更。度假区使用人像比对技术核验票务产品，游客可前往游客服务处选择其他核验方式。、|"北京环球度假区保留以下权利：  
1. **拒绝入园权**：有权拒绝任何其认为穿着不适宜的游客进入度假区，要求更换为合适的穿着或直接要求离开[1]。  
2. **影像记录权**：可在度假区内进行摄像、摄影和/或录音，游客进入度假区即视为同意被记录，用于业务、行政、运营目的或法律、安全要求[1]。  
3. **管理秩序权**：对不遵守《入园须知》、条款及条件或相关法律法规的游客，有权拒绝提供服务、拒绝入园或要求立即离园[1]。  
4. **运营调整权**：在极端天气、空气质量问题或特殊情况下，可临时调整运营措施，如更改开放时间、关闭部分区域、控制入园人数或暂停活动[1]。  

#### 参考：  
[1]来自文件《入园须知.docx》。"|7998
北京环球影城指定单日门票的退改政策是怎样的？|北京环球影城指定单日门票的退改政策根据退改时间有所不同： 到访日前2天00:00前： 可以免费退款，并且可以免费更改一次日期（需新日期有余票且门票等值）。 到访日前2天00:00至到访日前夜23:59期间： 退款需扣除80元人民币服务费，此时不可更改日期。 到访日当天（00:00之后）： 不可退款，除非适用法律另有规定，且不可更改日期。 请注意，日期变更不适用于跨票种变更，如需更换票种，需要先退款原票（按规定收取服务费）再重新购买新票种。团体票的退改政策则更为严格，无论何时都不可退款或更改，除非适用法律另有规定。|"北京环球影城指定单日门票的退改政策如下：  
1. **退款政策**：  
   - **到访日前2天的00:00前**：可免费退款。  
   - **到访日前2天的00:00至到访日前夜23:59期间**：退款需扣除服务费（人民币80元）。  
   - **到访日当天（00:00之后）**：不可退款，除非适用法律另有规定。  

2. **变更政策**：  
   - 游客可在新的指定到访日期尚有余票且门票等值的前提下，于到访日前2天的00:00前更换一次指定日门票到访日期。  
   - **不适用于跨票种变更**，仅支持原有票种的指定日门票申请退款并重新购买新票种的指定日门票。  

3. **其他限制**：  
   - 门票不可与其他优惠或折扣叠加使用，也不能用于单独售票的活动或贵宾体验。  
   - 门票一经更改或退款，需遵守具体票种条款（如团体票、儿童票等可能有额外限制）。  

以上政策来源于《产品Terms and Conditions.docx》[1]。  

#### 参考：  
[1]来自文件《产品Terms and Conditions.docx》。"|10287
年卡用户如何兑换“酷爽夏日主题实体徽章”？|北京环球影城年卡用户可以在指定期间（2025年6月13日至6月29日）兑换酷爽夏日主题实体徽章。兑换流程如下： 领取资格： 年卡需变为不可退状态（即年卡购买后的8天过渡期已过，或在过渡期内入园后）。 领取方式： 登录北京环球度假区官方移动应用（App、微信小程序或支付宝小程序），进入“会员俱乐部”绑定年卡订单后领取兑换券。兑换券仅限年卡用户本人在入园当日领取。 兑换时间与地点： 凭兑换券于2025年6月13日至6月29日每日10:00-16:00在探长零件集市兑换实体徽章。兑换券和实体徽章数量有限，先到先得。 逾期处理： 兑换券自领取之日起至2025年6月29日有效，逾期作废。 额外机会： 如果在首次兑换周期结束后实体徽章仍有剩余，年卡用户有机会在2025年7月1日10:00后入园领取一张实体徽章兑换券，每位年卡用户在2025年7月1日至7月6日期间仅可领取一张，同样是先到先得。此期间的兑换时间为10:00-16:00，地点仍在探长零件集市。 此权益仅限年卡用户本人使用，不可与其他优惠叠加，且兑换券不可篡改、复制、转让、转售或用于商业用途。|"年卡用户可通过以下步骤兑换“酷爽夏日主题实体徽章”：  
1. **领取兑换券**：登录北京环球度假区官方App、微信小程序或支付宝小程序，进入“会员俱乐部”绑定年卡订单，领取实体徽章兑换券（限年卡过渡期结束后使用，即年卡变为不可退后）。  
2. **兑换时间与地点**：  
   - **首次兑换**：2025年6月13日-6月29日每日10:00-16:00，前往**探长零件集市**兑换，库存有限，先到先得。  
   - **二次兑换**：若6月29日仍有余量，可于2025年7月1日10:00后入园，在探长零件集市再次兑换，每位用户仅限1次[1]。  
3. **注意事项**：兑换券需在有效期内使用，逾期失效；不可与其他优惠叠加，且仅限本人使用。  

#### 参考：  
[1]来自文件《6.13-6.29 年卡专属：酷爽夏日主题实体徽章兑换券（变形金刚主题角色款）》。"|8347
北京环球度假区对入园游客的着装和行为有哪些具体规定？|北京环球度假区为了确保所有游客的安全和舒适体验，对入园游客的着装和行为有严格规定： 着装要求： 游客不得穿着不适宜、暴露、印有侮辱性语言、邪教类标识或宗教冒犯性的服装，也不得穿着及地长衣或可能影响其他游客体验的服装。造型装扮（包括面部彩绘、特效妆容、主题道具或配饰），以及佩戴遮盖全脸或大部分脸的面具、面纱或其他物品是被禁止的，除非是度假区提供的产品、出于医疗或健康原因佩戴的口罩，或经书面允许的情况。穿着可能被误认为是团队成员的服装也是不允许的。 禁止行为： 严禁倒票、示威抗议、请愿、拉客、未经允许出售/出租/交换/散发/展示商品或服务、分发未经允许的印刷品/宣传品、未经允许进行集会/主题活动/演出/演讲/行为艺术。任何违法、危险、扰乱秩序、造成混乱、具有破坏性或对他人有攻击性的行为（如打架、推搡、使用侮辱性语言、长时间停留阻碍通行、踩踏草坪、奔跑、使用产生噪音的设备、进入水域、吸烟区外吸烟、乱扔垃圾、将车辆拖行或仅为携带物品而使用运载工具）均被禁止。 其他注意事项： 游客须随时看管好个人财物，并照看好同行儿童（不满16周岁须有16周岁以上游客陪同）。园区有权拒绝行为不当的游客入园或要求其离园。|"北京环球度假区对入园游客的着装和行为有以下具体规定：  

### **着装规定**  
1. **禁止不适宜穿着**：  
   - 禁止穿着暴露、不雅或印有侮辱性语言、邪教标识的服装，或穿着宗教冒犯性的服装[1]。  
   - 禁止穿着及地长衣或可能被误认为是度假区团队成员的服装[1]。  
   - 禁止进行造型装扮（如面部彩绘、特效妆容等），但医疗或健康原因需佩戴的口罩/面罩除外[1]。  

2. **特殊场景限制**：  
   - 禁止在指定吸烟区外吸烟或使用电子烟[1]。  

### **行为规定**  
1. **禁止扰乱秩序的行为**：  
   - 禁止倒票、示威抗议、请愿、拉客等行为[1]。  
   - 禁止分发或展示未经允许的印刷品、旗帜、横幅等[1]。  
   - 禁止进行任何形式的集会、演出、演讲或行为艺术[1]。  

2. **安全与公共秩序**：  
   - 禁止打架、威胁他人、排队时推搡、使用侮辱性语言或手势[1]。  
   - 禁止在商店门口、人行道等区域长时间停留妨碍他人[1]。  
   - 禁止奔跑、攀爬、使用产生噪音的设备（如收音机、喇叭等）[1]。  

3. **其他限制**：  
   - 禁止进入水系水域游泳、钓鱼、野餐或烹饪烧烤[1]。  
   - 禁止随地乱扔垃圾或未投入垃圾桶的个人物品[1]。  
   - 禁止拍照、录像、直播用于商业用途（私人非商业用途除外）[1]。  

### **其他要求**  
- 游客需遵守度假区团队成员的指引，并使用指定的人行道和道路通行[1]。  
- 北京环球度假区保留拒绝不适宜穿着游客入园的权利，并可能要求其更换服装或离园[1]。  

#### 参考：  
[1]来自文件《入园须知.docx》。"|7911
在北京环球影城用餐时，可以携带自己的食物和饮料入园吗？|北京环球度假区内的餐厅和零售店提供丰富的餐饮选择，但游客也可以携带仅供个人食用的食品和饮料入园。然而，出于安全考虑及可能对他人的体验造成影响，以下食品和饮料禁止携带进入北京环球度假区（因医疗、婴幼儿或特殊饮食需求除外）： 超出个人食用数量的食品和饮料。 含有酒精的饮料（如啤酒、烈酒等）。 需要加热或加工的食品（如需加热水、微波加热或自热等方式加工的方便面、冷食、速食火锅等）。 带有刺激性气味的食品及饮料（如榴莲等）。|"在北京环球影城用餐时，游客**不可以携带自己的食物和饮料入园**，除非属于医疗、婴幼儿或特殊饮食需求。根据《入园须知》规定，以下物品被明确禁止携带进入度假区：

1. **超出个人食用量的食品和饮料**  
2. **含酒精的饮料**（如啤酒、烈酒等）  
3. **需加热或加工的食品**（如方便面、速食火锅等）  
4. **带有刺激性气味的食品**（如榴莲等）  

注：医疗或特殊饮食需求者可携带必要物品，但需提前说明并遵守园区规定[1]。  

#### 参考：  
[1]来自文件《入园须知.docx》。"|7058
北京环球影城指定门票对入园人员的身份验证和年龄有哪些要求？|进入北京环球影城，游客须持有有效门票，并且需要提供政府颁发的有效身份证件原件用于年龄及身份验证。 中国大陆居民： 居民身份证 中国香港、中国澳门居民： 港澳居民来往内地通行证或港澳居民居住证 中国台湾居民： 台湾居民来往大陆通行证或台湾居民居住证 外国公民： 护照或外国人永久居留身份证 此外，不同票种对年龄有明确定义： 标准票： 购票当日年龄在12周岁（含）至64周岁（含）。 儿童票： 购票当日年龄在3周岁（含）至11周岁（含）。 老年人票： 购票当日年龄在65周岁及以上。 残障人士票： 需提供有效残障人士证件。 团体票： 需满足北京环球度假区规定的成团条件，并根据年龄分为标准、儿童和老年人团体票。 游客每次进入主题公园前，还需要在北京环球度假区指定的官方移动应用上预约入园时段，方可分时有序入园。有效的入园权益与预约记录共同构成有效的入园凭证，缺一不可。|"北京环球影城指定门票对入园人员的身份验证和年龄要求如下：  

1. **年龄要求**：  
   - **标准票**：购票当日年龄在12周岁（含）至64周岁（含）[1]。  
   - **儿童票**：购票当日年龄在3周岁（含）至11周岁（含）[1]。  
   - **老年人票**：购票当日年龄在65周岁及以上[1]。  
   - **残障人士票**：需提供有效残障人士证件[1]。  
   - **团体票**：需满足团体成团条件，且成员年龄需符合对应票种要求（标准票、儿童票或老年人票）[1]。  

2. **身份验证**：  
   - 入园时需出示**政府颁发的有效身份证件原件**进行年龄及身份验证，包括：  
     - 中国大陆居民：居民身份证；  
     - 中国香港、澳门居民：港澳居民来往内地通行证或港澳居民居住证；  
     - 中国台湾居民：台湾居民来往大陆通行证或台湾居民居住证；  
     - 外国公民：护照或外国人永久居留身份证[1]。  
   - 门票需与**官方App预约的入园时段**绑定，且门票和预约记录共同构成入园凭证，缺一不可[1]。  
   - 门票仅限**绑定有效身份证件者本人使用**，不得转让、转售或用于其他商业用途[1]。  

以上要求适用于所有指定单日票、1.5日票及团体票类型。  

#### 参考：  
[1]来自文件《产品Terms and Conditions.docx》。"|8676
年卡用户在诺金度假酒店熙悦餐厅和环球影城大酒店莲花园餐厅享用自助晚餐有什么特别优惠和注意事项？|北京环球影城年卡用户可以在诺金度假酒店熙悦餐厅和环球影城大酒店莲花园餐厅享受自助晚餐的特别优惠，但需注意以下事项： 共同点： 适用对象： 仅限北京环球影城年卡用户购买和使用，且年卡状态需为不可退。 购买与兑换： 仅限在北京环球度假区官方App及微信小程序内“环球会员俱乐部”兑换使用。 预约要求： 鉴于餐厅席位有限，建议提前24小时电话预约，先到先得。如未预约，在餐厅满座时无法使用餐券。 不可叠加： 餐券不可与其他优惠或折扣叠加使用。 禁止商业用途： 不得被篡改、复制、转让、转售或用于任何其他商业用途。 不含入园及停车： 此券不包含进入北京环球影城主题公园的入园权益，也不能用作入园凭证，不包含停车服务。 熙悦餐厅半自助晚餐券（诺金度假酒店）： 餐点内容： 包含半自助餐台（含餐前冷菜、沙拉吧、甜品、汤等）和四款主菜中任选一份（如整烤美国极佳西冷牛排、意大利海鲜烩饭配半只龙虾三文鱼等）。 有效期： 自购买之日起至2025年6月12日。 用餐时间： 17:30-21:30。 环球影城莲花园自助晚餐券（环球影城大酒店）： 餐点内容： 包含一次自助晚餐。 有效期： 自购买之日起60个自然日内。 用餐时间： 17:30-21:30。 特别活动日： 环球影城莲花园在2025年6月1日、7月19日、8月29日将举办特别节日主题活动，如需在这些日期使用餐券，务必提前与餐厅预约确认。 两款餐券如逾期未使用，均自动失效且不予退款或补发，除非适用法律另有规定。|"年卡用户在诺金度假酒店熙悦餐厅和环球影城大酒店莲花园餐厅享用自助晚餐的特别优惠及注意事项如下：

### **特别优惠**
1. **专属兑换券**  
   - 年卡用户可在年卡状态变为不可退后（如过渡期届满或入园后）兑换对应餐厅的自助/半自助晚餐券[1]。
   - 熙悦餐厅提供**半自助晚餐**，包含四款主菜（整烤美国极佳西冷牛排、意大利海鲜烩饭配半只龙虾三文鱼等）及半自助餐台[1]；莲花园餐厅提供**全自助晚餐**，包含冷菜、沙拉吧、甜品等[2]。

2. **使用期限**  
   - 熙悦餐厅券有效期至**2025年6月12日**，需在购买日起至该日期前使用[1]；莲花园餐厅券有效期为**自购买日起60个自然日**[2]。

---

### **注意事项**
1. **预约要求**  
   - 两家餐厅均需**提前24小时预约**，未预约或满座时无法使用餐券[1][2]。  
   - 莲花园餐厅在**2025年6月1日、7月19日、8月29日**举办主题活动，需提前确认预约[2]。

2. **使用限制**  
   - 每张券仅限**1位成人使用**，不可转让、复制或用于商业用途[1][2]。  
   - 不包含**入园权益、停车服务**，且仅限在北京环球度假区官方App或微信小程序内兑换[1][2]。

3. **菜品供应**  
   - 部分菜品可能因**季节或售罄**无法提供，以餐厅当日实际供应为准[1]。

4. **其他**  
   - 熙悦餐厅建议提前致电**010-57326330**预约，莲花园餐厅预约电话为**010-57311573**[1][2]。

#### 参考文献  
[1] 来自文件《熙悦餐厅自助晚餐券.docx》。  
[2] 来自文件《环球影城大酒店环球影城莲花园自助晚餐券.docx》。"|11795
北京环球度假区在恶劣天气或其他特殊情况下会如何处理？|北京环球度假区可能因极端天气、恶劣天气或空气质量状况（如雨雪、冰雹、雷电、沙尘暴、空气污染等），或出于园区的承载能力、健康与安全需要、特殊活动或其他必要原因的考虑，不定期采取以下措施，恕不另行通知： 更改主题公园或主题公园内任何游乐景点的开放时间。 临时关闭度假区或度假区内的任何部分区域。 控制入园人数。 暂停、调整（包括调整时间安排或地点）或取消任何游乐景点、娱乐演出、场馆或菜单。 除非适用法律另有规定，北京环球度假区对此不承担责任。建议游客在出行前关注官方网站了解最新运营信息。|"北京环球度假区在恶劣天气或其他特殊情况下可能会采取以下措施：  
1. **调整运营安排**：包括更改主题公园或游乐景点的开放时间，临时关闭度假区或部分区域，控制入园人数，或暂停、调整游乐设施、娱乐演出、场馆或菜单。  
2. **安全与健康考量**：基于安全、健康及园区承载能力等因素，可能采取临时关闭或调整措施，且通常不会提前通知。  
3. **特殊活动影响**：若因极端天气、空气质量等问题导致运营受影响，可能取消或调整部分活动安排。  

上述规定来源于《北京环球度假区及北京环球影城入园须知》[1]和《北京环球影城指定单日门票-标准票》条款及条件[2]。  

#### 参考：  
[1]来自文件《入园须知.docx》。  
[2]来自文件《产品Terms and Conditions.docx》。"|8742
北京环球度假区提供的“探索护照”有什么用，在哪里可以盖章？|“探索护照”是一本中文和英文版本的纪念册，售价75元/本。 购买地点： 园区各零售商店均有售卖，但哈利·波特的四个商店不卖，仅在霍格莫德车站处售卖。 盖章地点： 护照内包含10个不同的盖章地点，供游客打卡收集印章，包括：侏罗纪集市、探长零件集市、特工装备店、神龙大侠大百货、熊猫杂货铺、霍格莫德车站、小黄人萌乐岛（小黄人见面会边上的过道里）、小黄人集市、落霞糖果店、暗房。如果机器无法盖章，可以寻求工作人员进行人工盖章。 集齐奖励： 集齐10枚印章后，可以到好莱坞热映影片周边商店领取特别印章。目前官方不承诺有额外奖品发放，具体以现场实际情况为准。|"北京环球度假区的“探索护照”主要用于收集印章，集满10枚印章后可前往指定地点兑换特别奖励（如好莱坞热映影片周边商店的特别印章）。盖章地点包括侏罗纪集市、探长零件集市、特工装备店、神龙大侠大百货、熊猫杂货铺、霍格莫德车站、小黄人萌乐岛过道、小黄人集市、落霞糖果店和暗房[1]。游客可在园区零售商店内的机器上自助盖章，或向工作人员申请人工盖章，集满后前往暗房领取奖品[1]。

#### 参考：
[1]来自文件《探索护照介绍.docx》。"|12328
